Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
ADP Payroll,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance,Used in US and India for Payroll,ERP/MRP,No,Cloud service for Payroll for US employees,Wave 2,Current,Assess,1:N - replacement,Q1'28,Q4'28,No,S/4 and Ariba,SAP Payroll,"Initial Phoenix plan includes global SAP Payroll and CGL also supported a global payroll. However, the timeline is post R6",, Adi Challa,Gopal,Adi Challa,Enterprise,,
Anaplan,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance,Finance and R&D Planning/budgeting,ERP/MRP,No,"Anaplan cloud service for Financial Planning & Analytics.
This app is owned by Business (Finance Ashleigh Liu).",NA,Current,Assess,no change,,,,,,9/22: Data Flow to support T shirt sizing and Stage gate approvals between Teamcenter and Anaplan. - Adarsh,, Adi Challa,Gopal,Adi Challa,Enterprise,,
Anaplan App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,"Anaplan cloud service for Financial Planning & Analytics.
This app is owned by Business (Finance Ashleigh Liu).",,Current,Assess,no change,,,No,,,9/22: Data Flow to support T shirt sizing and Stage gate approvals between Teamcenter and Anaplan. - Adarsh,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Bloomberg*,3. GTO Done,Enterprise,N,R2R,Corp,Corp,,External Collabortation,Feeds daily FX rates to ERP,ERP/MRP,No,Currency exchange rate,NA,Current,Hold,no change,,,Yes,,,Integrate Bloomberg with S/4 in release 2,, Adi Challa,Gopal,Adi Challa,Enterprise,,
Bloomberg App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Currency exchange rate,,,,no change,,,No,,,Integrate Bloomberg with S/4 in release 2,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
C2FO,3. GTO Done,Enterprise,No,R2R,Corp,Corp,,External Collabortation,Supplier discount platform,ERP/MRP,No,Discounts on vendor payments by Collaborative Cash Flow Optimization (C2FO) Cloud Platform,R4,Current,Invest ,no change,,,Yes,,,Interface to extract open payables and send to bank for discounting,, Adi Challa,Gopal,Adi Challa,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Concur Travel & Expense,3. GTO Done,Enterprise,No,R2R,Corp,Corp,,Finance,Eimployee reimbursements,ERP/MRP,No,Global travel and expense system for CWT(Carlson Wagonlit Travel) cloud service,R4,Current,Invest ,1:1 - replacement,Q1'25,Q4'25,Yes,Concur under new contract,Concur,Reimplement and integrate Concur with S/4 as per new contract,, Adi Challa,Gopal,Adi Challa,Enterprise,,
Concur Travel & Expense App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Global travel and expense system for CWT(Carlson Wagonlit Travel) cloud service,,,,1:1 - replacement,,,No,Concur under new contract,Concur,Reimplement and integrate Concur with S/4 as per new contract,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
eBilanz Optitax,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance,German local regulatory reporting app,ERP/MRP,,Tax submission in Germany,R6,Legacy,Assess,N:1 - consolidation,Q1'25,Q4'25,No,SAP S4,,"Manual upload, does not require any reintegration
2/17 - This app will be replaced with standard functionality in SAP",, Adi Challa,Gopal,Adi Challa,Enterprise,,
eBilanz Optitax App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Tax submission in Germany,,,,no change,,,No,,,"Manual upload, does not require any reintegration",, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Global Costing,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance,"Product costing, actual / standard ",ERP/MRP,No,"Costing of fab, module, equipment and recipe",R6,Current,Assess,N:1 - consolidation,Q1'26,Q1'27,,PDF Costing / S4 Hana,,Replace with standard functionality in SAP (Requires integration with MES Systems using PDF SMH or homegrown),, Adi Challa,Gopal,Adi Challa,Enterprise,,
Global Costing App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,"Costing of fab, module, equipment and recipe",,,,N:1 - consolidation,,,No,PDF Costing / S4 Hana,,,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Hyperion Essbase,3. GTO Done,Enterprise,NA,R2R,Corp,Corp,,Finance,"Finance consolidaation tool, replaced with EPM",ERP/MRP,No,HFM (Consolidation) / Essbase (BU Reporting),Retired,,Retire,NA,,,,,,,, Adi Challa,Gopal,Adi Challa,Enterprise,,
Hyperion Essbase App,5. Duplicate App,,NA,R2R,Corp,Corp,,,,,,HFM (Consolidation) / Essbase (BU Reporting),Retired,,Retire,NA,,,,,,,, Adi Challa,Gopal,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Hyperion FM,3. GTO Done,Enterprise,NA,R2R,Corp,Corp,,Finance,"Finance consolidaation tool, replaced with EPM",ERP/MRP,No,HFM (Consolidation) / Essbase (BU Reporting),Retired,,Retire,NA,,,,,,,, Adi Challa,Gopal,Adi Challa,Enterprise,,
Hyperion FM App,5. Duplicate App,,NA,R2R,Corp,Corp,,,,,,HFM (Consolidation) / Essbase (BU Reporting),Retired,,Retire,NA,,,,,,,, Adi Challa,Gopal,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
IBM Tririga,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance,Lease accounting software,ERP/MRP,No,Lease Accounting (IFRS 16 requirement),R4,Current,Replace,N:1 - consolidation,Q1'25,Q4'25, No,SAP S4,Assets,Lease accounting is standard function in S/4 HANA,, Adi Challa,Gopal,Adi Challa,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
OpenText AP,3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance, Invoice processing automation for Account Payable,ERP/MRP,No,Invoice processing automation for Account Payable,R6,Nearing EOL,Retire,"N:1 - consolidation, SAP S4",Q1'25,Q4'25,No,"SAP S4, SAP VIM",SAP VIM,,, Adi Challa,Gopal,Adi Challa,"Enterprise, Technology & IT",,
OpenText AP App,5. Duplicate App,,Y,R2R,Corp,Corp,,,,,,Invoice processing automation for Account Payable,,,,N:1 - consolidation,,,No,SAP S4,SAP VIM,,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Oracle ARCS + EPM (FCCS),3. GTO Done,Enterprise,Yes,R2R,Corp,Corp,,Finance,Account Recon / Finance Consolidation,,,Account Reconciliation - ADAA Compliance + EPM services (2021),R6,Current,Retire,N:1 - consolidation,,,,,,SAP group reporting is used for consolidation. Need to find alternative for ARCS (Blackline??),, Adi Challa,Gopal,Adi Challa,"Enterprise, Manufacturing, Technology & IT",,
Oracle EBS,1. Not Started,,N,R2R,Corp,Corp,,,,,,"General Ledger(GL), Receivable, Payable, Fixed Asset, Project Costing, Inventory, Polaris Reporting",Wave 2,,,,,,,,,,,,,Sunil Bingumalla/ Rashmi Narkhede,Enterprise,,
Oracle EBS App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,"General Ledger(GL), Receivable, Payable, Fixed Asset, Project Costing, Inventory, Polaris Reporting",,,,,,,,,,,,,Alex,Sunil Bingumalla/ Rashmi Narkhede,"Manufacturing, Technology & IT",TRUE,TRUE
Polaris Reporting,1. Not Started,,N,R2R,Corp,Corp,,,,,,Polaris reporting tool for Oracle ERP,Wave 2,Legacy,Retire,,,,,,,,, Adi Challa,,Adi Challa,Enterprise,,
Polaris Reporting App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Polaris reporting tool for Oracle ERP,,,,,,,,,,,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Promiatis,1. Not Started,,N,R2R,Corp,Corp,,,,,,Promiatis tool for compliance in Germany,R6,Current,Assess,,,,,,,,, Adi Challa,,Adi Challa,"Enterprise, Manufacturing, Technology & IT",,
SAP Data Migration Tool (iDSS),3. GTO Done,Technology & IT,New,R2R,Corp,Corp,Global, Infosys Data Solution Suite (iDSS) for Oracle ERP migration,,IT,No,Infosys Data Solution Suite (iDSS) for Oracle ERP migration,R2,EOL,Retire,0:1 - new system,,,No,SAP Data Services / BODS,,,,Mahesawra,Alex,Mahesawra,"Enterprise, Manufacturing, Technology & IT",,
SAP FICO,3. GTO Done,Enterprise,Y,R2R,Corp,Corp,,Finance,,ERP/MRP,No,S/4 Finance modules. Need to be broken down,Introduced,Current,Invest ,1:N - replacement,,,Yes,,,,,,Gopal,,"Enterprise, Manufacturing, Technology & IT",,
SAP GTS,3. GTO Done,Enterprise,Y,R2R,Corp,Corp,,,,,No,Global Trade Services,Introduced,Current,Invest ,1:N - replacement,,, No,,,Replaces GTM,,,Gopal,,"Enterprise, Manufacturing, Technology & IT",,
SAP MDG- Finance,3. GTO Done,Enterprise,Y,R2R,Corp,Corp,,,,Data & Analytics,No,SAP MDG for Finance COA,Introduced,Current,Invest ,0:1 - new system,,, No,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
SAP Solution Manager,1. Not Started,Enterprise,New,R2R,Corp,Corp,,,,,,SAP tool to manage S/4 applications changesand releases,Introduced,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
SAP Tricentis,1. Not Started,Enterprise,New,R2R,Corp,Corp,Global, Tricentis Tosca and qTest for SAP application test automation and management.,,,,Tricentis Tosca and qTest for SAP application test automation and management.,,,,,,,,,,,,Mahesawra,,Mahesawra,"Enterprise, Manufacturing, Technology & IT",,
SAP Vertex,1. Not Started,Enterprise,Y,R2R,Corp,Corp,,,,,,Vertex is a third-party tax engine that calculates indirect taxes and integrates with SAP​,,Current,Invest ,0:1 - new system,,,,SAP S4,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
Sungard,3. GTO Done,Enterprise,N,R2R,Corp,Corp,,Finance,Treasury system,,No,Treasury Management,Wave 2,Nearing EOL,Assess,,,,,,,Need further discussoin with Treasury team to confirm switch to SAP,, Adi Challa,Gopal,Adi Challa,Enterprise,,
Sungard App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Treasury Management,,,,,,,,,,,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
TeamMate Cloud,1. Not Started,,N,R2R,Corp,Corp,,,,,,Teammate Cloud application package from Wolters for internal control and audit management.,NA,Current,Invest ,,,,,,,,, Adi Challa,,Adi Challa,Enterprise,,
TeamMate Cloud App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Teammate Cloud application package from Wolters for internal control and audit management.,,,,,,,,,,,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Vajasoft,1. Not Started,,N,R2R,Corp,Corp,,,,,,Asset Inventory Tracking System (GLOBAL),R4,Nearing EOL,Retire,,,,,,,,, Adi Challa,,Adi Challa,Enterprise,,
Vajasoft App,5. Duplicate App,,N,R2R,Corp,Corp,,,,,,Asset Inventory Tracking System (GLOBAL),,,,,,,,,,,, Adi Challa,Alex,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
Agile-PLM Document Change Control,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Q/Compliance related Document Control, Review & Archiving system",Wave 2,,,1:N - replacement,,, Yes,"Teamcenter, SAP QM?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/12: Removed Agile PLM duplicate entries and consolidated into Row 17 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Agile-PLM: TPRB (Turnkey Process Review Board),5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Turnkey Project Qual Process Flow,Wave 2,,,1:1 - replacement,,,,"Teamcenter, SAP QM?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/12: Removed Agile PLM duplicate entries and consolidated into Row 17 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Agile-PLM: TRB (Technology Review Board) QX-054,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Tech Qualification Process Flow, APQP component",Wave 2,,,1:1 - replacement,,,,"Teamcenter, SAP QM?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/12: Removed Agile PLM duplicate entries and consolidated into Row 17 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
F7 YDD Inking Solution,3. GTO Done,Manufacturing,No,Quality,"Corp, Fab7",Corp,Fab7,,,,,YDD CFM defect inking,,,Retire,1:0 - retirement,Q1'28,Q4'28,,OneGF Map,,Migrate / Consolidate into OneGF Maps or Fab1 CCE,,,Jimmy Goh,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
BPMS ARIS App,5. Duplicate App,,N,Quality,Corp,Corp,,,,,,ARIS application package used for Business Process Modeling,,,,,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
CAR ,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,"Corrective Action System to track the causes of actual or potential nonconformities events, Supplier issues, Customer complaints",,,"CAPA incl. ICAR, Customer-CAR, Supplier-CAR,Finance. (Corrective Action Request) 8D/SPS System",Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27, Yes,SAP QM,,2/12: Corrective Action including 8D will be moving to SAP QM in Release 6 - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
CAR-Customer,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Corrective Action Request for customer,Wave 2,,,1:N - replacement,,,,"Teamcenter, D365, SAP QM?, MES?",,"For Release 3 - Cases will be managed in D365. Design/Engineering Bugs/Issues will be managed in Teamcenter. Discussions with SAP is on going activity for other types of incidents - Adarsh
2/12: Duplicate entry, consoldiated into Row 75- Adarsh",,,Adarsh,Sumeet Sharma,Enterprise,,
CAR-Customer App,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Corrective Action Request for customer,,,,1:N - replacement,,,,"Teamcenter, D365, SAP QM?, MES?",,"For Release 3 - Cases will be managed in D365. Design/Engineering Bugs/Issues will be managed in Teamcenter. Discussions with SAP is on going activity for other types of incidents - Adarsh
2/12: Duplicate entry, consoldiated into Row 75- Adarsh",,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
CAR-Internal,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Corrective Action Request for internal,Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"For Release 3 - Bugs/Issues Design/Engineering will be managed in Teamcenter. Discussions with SAP is on going activity for other types of incidents - Adarsh
2/12: Duplicate entry, consoldiated into Row 75- Adarsh",,,Adarsh,Sumeet Sharma,Enterprise,,
CAR-Internal App,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Corrective Action Request for internal,,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"For Release 3 - Bugs/Issues Design/Engineering will be managed in Teamcenter. Discussions with SAP is on going activity for other types of incidents - Adarsh
2/12: Duplicate entry, consoldiated into Row 75- Adarsh",,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
iCASE,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Capture of both Incident and CASE,,,Bundle issue for 8D/Corrective Action.  (Incident Corrective Action System) - of Incidents/ MRB/ Scrap,Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP QM,,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/12: Operational incidents and Quality process like Corrective Action, 8D, FMEA will move to SAP QM - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
IQA,5. Duplicate App,Manufacturing,Delete,Quality,Corp,Corp,,,,,,"Incoming Quality Assurance (IQA) system. It has various modules including: Material Selection & Qualification, eCOA Submission, Change Notification (iChange).",,,,,,,,,,,,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",,
CONFLUENCE (Fab 1 ONEWiki),3. GTO Done,Enterprise,"Delete, N",Quality,"Corp, Fab1",Corp,Fab1,Quality,,Manufacturing,, Documentation website (WIKI based Application system),,Legacy,Replace,1:N - replacement,,,No,,, No Change but can be replaced with DMS,,,Alex,,"Manufacturing, Technology & IT",TRUE,TRUE
Containment - Fab Quality Gates,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,This is used by Fab 9 as part of IBM Stepdown process.,Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/12: It is a business function in iCASE - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Customer Case System (SFDC),5. Duplicate App,,TBD,Quality,Corp,Corp,,,,,,"Various topics, incl. IP, PDK bugs",TBD,,,,,,,,,TBD,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
WebDM ,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,"To author Design Manual, Change control, publishing and automation system",,,Delegated board for Design Manual change. - DMRB (Design Manual Review Board - PLM portion),Release 3,Current,Assess,1:N - replacement,Q1'26,TBD,No,Teamcenter,,"Delegated board for Design Manual changes. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/12: DMRB process for Device, Mask will move to Teamcenter by Release 6 (PLM portion only). We need to assess if WebDM is still needed for long term - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
EO/PO Tool (EOPO App),3. GTO Done,,Yes,Quality,Corp,Corp,,,Supply Chain process,,,"MRB upgrade for Lots, Engineering Order and Production Order",Wave 2,Current,Assess,0:1 - new system,Q1'26,Q1'27,No,SAP QM,,EO/PO needs to be integrated into ICASE system. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
ePRF (Process Request Form),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Electronic Process Request form - Customer can influence the lots in Fab for special logistic and process related actions,,,Customer requests specific action at the Fab for limited number of lots,,Current,Assess,1:1 - replacement,Q1'26,Q1'27,No,"SAP QM, D365",,linked to SFDC. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
eTCN (potential merge with iCHANGE) with OSAT,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Custom app built on Oracle to manage change,,,Delegated board for TK Test Program change,Release 4,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP QM,,Delegated board for TK Test Program change. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
SPC Change Request,3. GTO Done,Manufacturing,No,Quality,Corp,Prod,,,,,,SPC Change request system,,,Replace,1:N - replacement,,,,SAP QM,,"SPC Change request system. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: SPC will be replaced by SAP QM - Adarsh",,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",,
FAR - Failure Analysis Reporting and any QMS needs,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Lab System,,,Labs Request System,,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP QM,,TBD,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
FCRB (Facility Change Review Board),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,Delegated board for Facilities Change,Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP QM,,"Delegated board for Facilities Change. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13 - FCRB will be managed in SAP QM by Release 6 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Stature - FMEA,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Failure Mode and Effects Analysis and Risk Mitigation,,,FMEA : Risk and Control Plan,Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP QM,,"R3: Standalone , R5 + MES Control Plan Validation. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13 - FMEA will be managed in SAP QM by Release 6 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
"iCASe (Incident Case, MRB, Scrap, UnScrap)",5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Incident & NC material management,Wave 2,,,1:N - replacement,,, Yes,"Teamcenter, SAP QM?, MES?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: This is a duplicate entry, captured iCASE in row 81 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
iCASE/MRB,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,"Tracking quality issues / alarms (based on message from MES, lots put on hold)",,,Quality Incident Corrective Action & Material Review Board,R6,Current,,N:1 - consolidation,,,,SAP QM,,QM Will be post R6,,,Gopal,Sumeet Sharma,"Manufacturing, Technology & IT",,
